product_id,name,category,subcategory,temperature,caffeine_mg,calories,sugar_g,protein_g,contains_dairy,contains_nuts,contains_gluten,is_vegan,description,price
ESP_001,Caffè Americano,espresso,americano,hot,225,15,0,1,False,False,False,True,Espresso shots topped with hot water for a light layer of crema,4.45
ESP_002,Blonde Caffè Americano,espresso,americano,hot,255,15,0,1,False,False,False,True,"Blonde espresso with hot water for a smooth, subtly sweet taste",4.45
ESP_003,Caffè Latte,espresso,latte,hot,150,190,18,13,True,False,False,False,Rich espresso balanced with steamed milk and a light layer of foam,5.45
ESP_004,Vanilla Latte,espresso,latte,hot,150,250,35,12,True,False,False,False,Espresso with vanilla syrup and steamed milk,5.95
ESP_005,Caramel Macchiato,espresso,macchiato,hot,150,250,33,10,True,False,False,False,Vanilla-flavored drink marked with espresso and caramel drizzle,5.95
ESP_006,Caffè Mocha,espresso,mocha,hot,175,360,35,14,True,False,False,False,"Espresso with mocha sauce, steamed milk, and whipped cream",5.75
ESP_007,White Chocolate Mocha,espresso,mocha,hot,150,420,53,14,True,False,False,False,"Espresso with white chocolate sauce, steamed milk, and whipped cream",5.95
ESP_008,Cappuccino,espresso,cappuccino,hot,150,140,10,10,True,False,False,False,Dark espresso with a deep layer of foamed milk,4.95
ESP_009,Flat White,espresso,flat_white,hot,195,170,13,11,True,False,False,False,Ristretto shots with steamed whole milk,5.25
ESP_010,Honey Almondmilk Flat White,espresso,flat_white,hot,225,170,24,4,False,True,False,True,Blonde espresso with almond milk and honey,5.75
ESP_011,Pumpkin Spice Latte,espresso,latte,hot,150,390,50,14,True,False,False,False,"Espresso with pumpkin, cinnamon, nutmeg, and clove",6.45
ESP_012,Cinnamon Dolce Latte,espresso,latte,hot,150,340,40,11,True,False,False,False,Espresso with cinnamon dolce syrup and steamed milk,5.95
ESP_013,Brown Sugar Oatmilk Latte,espresso,latte,hot,170,270,28,5,False,False,False,True,Blonde espresso with brown sugar and oat milk,5.95
ESP_014,Espresso,espresso,shot,hot,150,10,0,1,False,False,False,True,"A smooth, rich shot of espresso",2.95
ESP_015,Espresso Con Panna,espresso,shot,hot,150,35,1,1,True,False,False,False,Espresso shot topped with whipped cream,3.45
ICE_001,Iced Caffè Americano,espresso,americano,iced,225,15,0,1,False,False,False,True,Espresso shots topped with cold water over ice,4.45
ICE_002,Iced Caffè Latte,espresso,latte,iced,150,130,11,10,True,False,False,False,Espresso and milk poured over ice,5.45
ICE_003,Iced Vanilla Latte,espresso,latte,iced,150,190,28,10,True,False,False,False,Espresso with vanilla syrup and milk over ice,5.95
ICE_004,Iced Caramel Macchiato,espresso,macchiato,iced,150,250,34,10,True,False,False,False,"Vanilla syrup, milk, ice, and espresso with caramel drizzle",5.95
ICE_005,Iced Caffè Mocha,espresso,mocha,iced,175,350,43,11,True,False,False,False,"Espresso with mocha sauce, milk, ice, and whipped cream",5.75
ICE_006,Iced White Chocolate Mocha,espresso,mocha,iced,150,420,49,13,True,False,False,False,"Espresso with white chocolate, milk, ice, and whipped cream",5.95
ICE_007,Iced Brown Sugar Oatmilk Shaken Espresso,espresso,shaken,iced,255,120,13,3,False,False,False,True,Blonde espresso shaken with brown sugar and oat milk,5.95
ICE_008,Iced Toasted Vanilla Oatmilk Shaken Espresso,espresso,shaken,iced,255,140,14,3,False,False,False,True,Blonde espresso with toasted vanilla and oat milk,5.95
ICE_009,Iced Chocolate Almondmilk Shaken Espresso,espresso,shaken,iced,255,110,10,3,False,True,False,True,Blonde espresso with chocolate malt and almond milk,5.95
