query_id,query_text,constraint_temperature,constraint_max_calories,constraint_max_sugar,constraint_dairy_free,constraint_vegan,constraint_caffeine_level,relevant_products,constraint_max_price,constraint_category
TRAIN_001,"need a pick me up, something like just black coffee that's need the caffeine and under 45 grams of sugar",,,45.0,,,high,"['BRW_002', 'BRW_001', 'BRW_005', 'BRW_003']",,brewed
TRAIN_002,May I get a chai or tea that's no regular milk and under 250 cal?,,250.0,,True,,,"['TEA_005', 'ICT_004', 'TEA_008', 'TEA_007', 'TEA_004', 'TEA_006', 'ICT_005', 'ICT_006', 'ICT_008', 'ICT_007', 'TEA_009', 'ICT_010', 'ICT_009', 'TEA_010', 'TEA_011']",,tea
TRAIN_003,hit me with basic brewed coffee that's under 45 grams of sugar and cheaper than $5.0,,,45.0,,,,"['BRW_002', 'BRW_001', 'BRW_004', 'BRW_003', 'BRW_005']",5.0,brewed
TRAIN_004,i want some tea that's less than 200 calories and max 30g sugar,,200.0,30.0,,,,"['TEA_005', 'ICT_004', 'TEA_008', 'TEA_007', 'TEA_004', 'TEA_006', 'ICT_005', 'ICT_006', 'ICT_008', 'ICT_007', 'TEA_009', 'TEA_012', 'TEA_003', 'ICT_003', 'ICT_002']",,tea
TRAIN_005,could i get a cold brew that's under 100 cal and vegan friendly please?,,100.0,,,True,,"['CBR_001', 'CBR_012', 'CBR_002', 'CBR_011', 'CBR_009']",,cold_brew
TRAIN_006,running late but i need a cappuccino or latte that's cold and without milk,iced,,,True,,,"['ICE_015', 'ICE_008', 'ICE_007', 'ICE_016', 'ICE_001', 'ICE_009', 'ICE_018', 'ICE_017']",,espresso
TRAIN_007,May I get drip coffee that's strong and less than $5.5?,,,,,,high,"['BRW_002', 'BRW_001', 'BRW_003', 'BRW_005']",5.5,brewed
TRAIN_008,May I get a latte that's less than $4.0 and steaming?,hot,,,,,,"['ESP_014', 'ESP_015', 'ESP_016']",4.0,espresso
TRAIN_009,I'm looking for herbal tea that's cheaper than $4.0 and no dairy,,,,True,,,"['TEA_005', 'TEA_008', 'TEA_007', 'TEA_004', 'TEA_006', 'ICT_004', 'ICT_005', 'ICT_006', 'ICT_008', 'ICT_007']",4.0,tea
TRAIN_010,give me a plain coffee that's max $4.5 and without milk,,,,True,,,"['BRW_002', 'BRW_001', 'BRW_004', 'BRW_003']",4.5,brewed
TRAIN_011,i want an americano or latte that's less than 100 calories and fully vegan,,100.0,,,True,,"['ESP_014', 'ESP_002', 'ICE_001', 'ESP_001', 'ICE_018', 'ESP_017', 'ICE_017', 'ICE_015']",,espresso
TRAIN_012,I'm looking for espresso something that's non-dairy and max $4.5,,,,True,,,"['ESP_014', 'ESP_002', 'ESP_017', 'ICE_001', 'ESP_001']",4.5,espresso
TRAIN_013,lemme get a cappuccino or latte that's 20g sugar or less and under $4.0,,,20.0,,,,"['ESP_014', 'ESP_015', 'ESP_016']",4.0,espresso
TRAIN_014,I'll take some cold brew that's no more than $5.0 and under 30g sugar,,,30.0,,,,"['CBR_001', 'CBR_008', 'CBR_009', 'CBR_010']",5.0,cold_brew
TRAIN_015,"it's hot out, i need some tea that's medium caffeine and under $5.0",,,,,,medium,"['ICT_009', 'TEA_012']",5.0,tea
TRAIN_016,do you have a refresher that's max $6.5 and max 30g sugar?,,,30.0,,,,"['REF_002', 'REF_001', 'REF_008', 'REF_007', 'REF_004', 'REF_003']",6.5,refresher
